caption_loss,fc_loss,loss
5.71875,0.64453125,12.125
6.40625,0.6484375,12.875
6.21875,0.6015625,12.25
6.34375,0.62890625,12.625
6.0625,0.64453125,12.5
5.9375,0.67578125,12.6875
6.21875,0.6171875,12.375
6.5,0.62109375,12.75
6.375,0.6640625,13.0
6.03125,0.65234375,12.5625
5.9375,0.6328125,12.25
6.0625,0.61328125,12.1875
6.53125,0.66015625,13.125
5.8125,0.609375,11.875
6.5,0.60546875,12.5625
6.25,0.640625,12.625
6.0,0.625,12.25
6.34375,0.625,12.625
6.34375,0.6171875,12.5
6.15625,0.62109375,12.375
5.9375,0.6171875,12.125
6.40625,0.62109375,12.625
6.1875,0.62109375,12.375
6.46875,0.6328125,12.75
5.75,0.62109375,12.0
6.28125,0.62890625,12.5625
6.21875,0.62109375,12.4375
5.65625,0.61328125,11.75
5.90625,0.6015625,11.875
6.625,0.625,12.875
6.0625,0.6171875,12.25
6.0,0.65234375,12.5
6.09375,0.61328125,12.25
6.03125,0.67578125,12.75
5.8125,0.66015625,12.375
6.375,0.6328125,12.6875
5.96875,0.578125,11.75
5.96875,0.6171875,12.125
5.59375,0.6640625,12.25
6.21875,0.625,12.5
5.96875,0.6328125,12.25
6.1875,0.609375,12.25
5.71875,0.6328125,12.0
6.34375,0.64453125,12.75
6.09375,0.609375,12.1875
6.25,0.65234375,12.75
6.1875,0.6015625,12.1875
6.25,0.640625,12.625
5.875,0.66796875,12.5625
6.0625,0.609375,12.125
6.25,0.65625,12.8125
5.84375,0.67578125,12.625
5.34375,0.625,11.625
5.84375,0.65625,12.375
5.625,0.65234375,12.125
6.15625,0.68359375,13.0
6.3125,0.65234375,12.875
5.84375,0.640625,12.25
6.15625,0.61328125,12.25
6.15625,0.56640625,11.8125
6.03125,0.55859375,11.625
5.65625,0.6328125,12.0
5.53125,0.58984375,11.4375
6.34375,0.59765625,12.3125
5.84375,0.5625,11.5
6.28125,0.62890625,12.5625
5.78125,0.609375,11.875
5.65625,0.62109375,11.875
5.625,0.6015625,11.625
5.875,0.6015625,11.875
6.03125,0.6015625,12.0
6.375,0.59375,12.3125
5.65625,0.58203125,11.5
6.0625,0.6328125,12.375
5.625,0.62109375,11.875
6.25,0.6484375,12.75
5.28125,0.6171875,11.5
6.09375,0.62109375,12.3125
6.0625,0.59765625,12.0
5.375,0.62109375,11.625
6.03125,0.625,12.25
6.34375,0.59375,12.25
5.6875,0.66796875,12.375
6.625,0.58984375,12.5
6.03125,0.5703125,11.75
6.1875,0.5859375,12.0625
5.84375,0.62890625,12.125
5.875,0.63671875,12.25
6.03125,0.65234375,12.5625
5.28125,0.65625,11.875
5.84375,0.5859375,11.75
6.21875,0.6640625,12.875
5.5625,0.65234375,12.125
5.8125,0.61328125,11.9375
6.40625,0.578125,12.1875
6.125,0.6640625,12.75
5.84375,0.55078125,11.375
6.03125,0.625,12.25
6.21875,0.6171875,12.375
4.9375,0.6171875,11.125
6.28125,0.61328125,12.375
5.875,0.6484375,12.375
6.28125,0.59375,12.25
5.75,0.6171875,11.9375
5.53125,0.66796875,12.25
6.0,0.625,12.25
5.6875,0.60546875,11.75
5.875,0.58203125,11.6875
5.6875,0.6171875,11.875
5.46875,0.640625,11.875
5.5625,0.5859375,11.4375
