caption_loss,fc_loss,loss
4.8125,0.41015625,8.875
4.9375,0.455078125,9.5
4.84375,0.408203125,8.9375
4.84375,0.408203125,8.9375
4.34375,0.462890625,9.0
4.875,0.458984375,9.5
5.09375,0.412109375,9.25
4.65625,0.56640625,10.3125
4.78125,0.45703125,9.375
4.90625,0.5078125,10.0
4.78125,0.3515625,8.3125
4.84375,0.306640625,7.90625
4.90625,0.51171875,10.0
4.78125,0.40625,8.875
4.96875,0.51171875,10.125
5.28125,0.41015625,9.375
4.8125,0.5546875,10.375
4.6875,0.51171875,9.8125
4.53125,0.462890625,9.125
4.71875,0.40625,8.75
4.9375,0.51171875,10.0625
4.78125,0.35546875,8.375
4.84375,0.404296875,8.875
4.9375,0.5078125,10.0
4.96875,0.357421875,8.5625
4.625,0.40625,8.6875
5.0,0.56640625,10.625
4.71875,0.455078125,9.25
4.71875,0.515625,9.875
4.75,0.3515625,8.25
5.1875,0.306640625,8.25
4.75,0.458984375,9.375
